trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-257.7871243153628,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-87.17730507145095,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-23.240308045230996,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-120.86754589829415,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-125.34881282977494,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-7.814088376496491,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-154.1215859885817,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-51.63947814890523,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-111.7816452787278,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-92.02170067467729,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,7,-153.61598022851436,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 4}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-117.48827987879108,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,3,-79.82357259641816,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-51.756904026516374,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-22.335727214411584,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-17.82257028916202,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-37.14847790956279,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,10,-91.88820581427316,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-8.761927812952555,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,1.7036154988161711,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-75.69413383032615,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-35.79524067192672,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,13,-2.383523400575737,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,14,-15.13517862667259,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,15,3.3837541195967145,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-48.48457749646251,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-79.32314399320121,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,11,3.5211155718886027,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-31.019265481970915,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,1,-19.822610281746442,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
