trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.995}",25,0,-108.85409699098238,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.25, 'e': 0.990025}",35,0,-187.89532475773743,"{0: 22, 1: 2, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.25, 'e': 0.985074875}",25,0,-245.82300345736726,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
4,False,"{'a': 0.25, 'e': 0.9801495006250001}",20,0,-60.81875011866248,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.25, 'e': 0.9752487531218751}",20,0,-95.30431033751479,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.9703725093562657}",30,0,-114.17823678204006,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.9655206468094844}",30,0,-93.21547491243481,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.960693043575437}",35,0,-139.8658719208703,"{0: 19, 1: 8, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.25, 'e': 0.9558895783575597}",20,0,-53.263073076638285,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.25, 'e': 0.9511101304657719}",20,0,-106.76954675090171,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.946354579813443}",20,0,-93.75467694400945,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.25, 'e': 0.9416228069143757}",35,6,-113.36077254573222,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 1}",1
13,False,"{'a': 0.25, 'e': 0.9369146928798039}",20,0,-52.69407279235248,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.25, 'e': 0.9322301194154049}",25,0,-105.8095495576859,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
